price,bedrooms,bathrooms,sqft_lot,floors,condition,yr_built
470000,3,1,5000,1,Average,1952
226500,3,1.5,7370,1,Good,1976
274250,3,1,8450,1,Good,1962
840000,4,1.75,11010,1,Good,1966
677900,3,2.5,4587,2,Average,2010
425000,3,1,5864,1,Average,1915
180250,2,0.75,9600,1,Average,1941
464000,6,3,3404,2,Average,1920
320000,4,2.25,7579,2,Average,1993
625504,3,2.25,1566,2,Average,2014
592500,4,2.5,12032,1,Average,1983
465000,3,2.5,17936,2,Average,2005
477000,4,2.75,6270,2,Average,1978
280000,2,1,16400,1,Average,1923
1.51E+06,5,3,33474,1,Average,1957
445838,3,2.5,5692,2,Average,2000
1.07E+06,2,2.25,14864,1,Average,1947
467000,2,1.5,10800,1,Good,1947
686000,4,2.5,6440,2,Average,1999
279950,3,2,9750,1,Average,1961
527000,4,2.25,19436,2,Average,1987
325000,3,2.25,16020,1,Good,1966
328000,3,2.25,8379,2,Average,1994
390000,3,2.25,7500,1,VeryGood,1942
479950,2,2,6516,1,Average,2005
264950,4,2.25,9753,1,Good,1978
235000,3,1,15246,1,Good,1961
516500,3,2.5,4729,2,Average,2004
655000,2,1.75,15798,2,Average,1915
500000,4,2.75,15347,1,VeryGood,1960
315000,6,2.75,7350,1,Average,1978
213000,2,1,10200,1,Average,1961
475000,3,1.5,5280,1.5,VeryGood,1947
1.03E+06,5,4,28040,2,Average,1983
416000,3,2,94300,1,VeryGood,1976
410000,4,1,4740,1.5,Average,1904
800000,3,3.5,221284,2,Average,1993
472000,6,2.5,14034,1,Good,1965
225000,3,1.75,8505,1,Good,1968
210000,2,1,6000,1,Average,1940
455000,2,1,5000,1.5,Fair,1925
225000,3,1,8316,1,Good,1954
480000,2,1,3060,1,Good,1918
363000,3,2.5,11872,2,Average,1990
2.40E+06,4,2.5,8354,1,Average,2000
181000,2,1.5,5120,1,Average,1954
250000,4,2,7312,1,Good,1976
481000,3,1.75,3000,1,Good,1918
260000,3,2,7209,1,Good,1978
455000,4,2.5,7685,2,Average,2001
415000,3,2.25,36224,2,Average,1991
349500,3,1,3538,1,Average,1953
245000,3,2.5,7442,2,Average,1987
592500,2,2,9191,1.5,VeryGood,1928
385000,4,1.75,7620,1,Good,1955
315000,3,1.75,11455,1,Good,1974
255000,3,1,10170,1,Average,1979
693000,4,2.5,4425,2,Average,2006
780000,3,1,4400,1.5,Average,1911
237000,3,1.75,8470,1,Good,1960
525000,3,2.25,40510,2,Average,1979
425000,2,1,5040,1,Average,1930
369900,1,0.75,10079,1,VeryGood,1936
290000,4,2.5,7280,2,Good,1988
285000,3,1,10701,1,Average,1954
415000,2,1,4500,1,Average,1937
272500,3,2.5,9900,1,Average,1979
2.90E+06,4,3.25,20100,1.5,Average,1982
1.37E+06,4,4.75,57346,2,Good,1989
436000,2,1,7538,1,Good,1939
210000,3,1,11390,1,Good,1967
236000,3,1,5898,1,Average,1961
331000,3,1.75,1306,1,Average,1954
365000,3,2.5,4510,2,Average,2006
450000,3,2,16258,1,VeryGood,1960
770000,4,2.75,26300,2,Average,2014
455000,4,2.5,49375,1,Average,1997
405000,3,1.75,6000,1,Average,1908
304900,4,1.75,11325,1,Good,1969
170000,2,1,5265,1,Average,1931
2.05E+06,5,3,8480,2,VeryGood,1905
780000,4,2.5,7048,2,Average,2005
330000,3,3,13959,1,Good,1988
370000,4,2.5,8666,2,Average,1992
467000,5,2.25,13500,1,Average,1979
405000,3,1.75,6720,1,Average,1980
675000,5,2.25,10300,1,Average,1985
500000,2,1,14100,1,Good,1954
389999,4,2.5,15770,2,Good,1968
630000,4,1.75,9025,1,Good,1975
360000,4,2.5,9528,2,Average,1992
580000,4,3,11060,2,Average,1986
550000,3,2,4166,2,VeryGood,1929
879000,4,2.5,22111,2,Average,1994
265000,3,2,8959,1,Average,1993
446500,3,2.5,7286,2,Average,1990
404000,3,1.5,8880,1,Average,1963
267500,3,1.75,11914,1,Average,1957
3.08E+06,4,5,18641,1,Average,2002
335000,3,2.5,7632,2,Average,1998
576000,3,2.5,9000,1,Good,1948
208633,3,2.5,3810,2,Average,2006
315000,3,2.25,8750,1,Good,1964
725000,3,1.75,3300,1,Good,1913
550000,4,2.75,7750,1,Good,1965
610750,4,2.25,7297,2,Average,1984
550700,2,1,5000,1.5,Good,1908
665000,4,2.75,10574,2,VeryGood,1960
834000,4,2.5,4000,1.5,VeryGood,1928
201000,5,1.75,78408,1.5,Average,1915
2.38E+06,5,2.5,9050,2,VeryGood,1921
1.38E+06,4,3.25,12103,1,Average,1997
1.40E+06,4,3.25,12103,1,Average,1997
305000,4,2.25,7700,1,Average,1979
487000,3,2,14052,1,VeryGood,1948
390000,3,2.5,64904,1,Good,1988
548000,2,1,3864,1,Good,1916
268750,4,1,8775,1,Average,1943
819900,5,2.75,7119,2,Average,2013
520000,3,2.25,16200,2,Average,1984
230000,3,2,11204,1,Average,2003
240000,3,1.75,10248,1,Average,1969
232000,2,1,12092,1,Average,1922
240500,2,1,12092,1,Average,1922
274975,3,2.5,45004,2,Average,1987
740000,4,2,4400,1.5,Good,1922
186375,3,1,7636,1,Fair,1952
790000,3,2.25,10289,1,Good,1977
880000,4,3.5,6750,2,Average,1951
279000,6,1.75,11180,2,Good,1955
295000,3,2,10530,1,Average,1991
640000,2,1,5000,1,Average,1924
940000,4,2,9525,2,VeryGood,1968
260000,4,2.5,5238,2,Average,2003
559900,3,2.75,5569,1,Average,2004
791500,4,2,3500,1.5,VeryGood,1911
265000,3,1.75,8250,1,Average,1954
245000,3,1.75,11547,1,Average,1954
485000,4,1.75,43995,2,Good,1962
684000,4,3.5,8414,2,Average,2010
425000,3,1.75,6840,1,Average,1957
309600,4,1.75,20000,1,Good,1991
552250,4,2.5,5823,2,Average,2002
165000,4,1,7134,1,Average,1943
239900,4,1,7134,1,Average,1943
320000,2,1,32633,1,Good,1930
206600,3,2,13464,1,Good,1987
387000,4,1.75,7690,1,Average,1973
299000,1,0.75,12120,1,Average,1967
855000,4,2.75,10460,2,Average,1965
315000,3,1,14400,1,Good,1954
437500,2,1,3120,1,VeryGood,1907
252000,4,1.5,19800,1,Good,1969
375000,4,1.75,7475,1,VeryGood,1955
300000,4,2.5,4862,2,Average,2005
420000,4,1,9600,1.5,Good,1954
900000,3,1,77972,1,Average,1928
679900,3,2.5,5750,2,Average,2000
463000,3,2.5,29970,2,Average,1992
380000,5,2.5,11340,2,Good,1978
329500,4,2.5,7912,2,Average,1994
604950,3,2.5,5608,1,Average,2013
795000,5,2.5,9570,1,Good,1966
465000,3,2,40438,2,Average,1994
673000,4,2.5,10400,2,Average,2002
810000,4,2.5,15420,2,Average,1991
785000,4,2.75,69415,1,Good,1989
338000,4,3,7500,1,Average,1986
280000,3,2.25,7222,2,Average,1993
315000,4,2.25,10754,1,VeryGood,1954
530000,4,2.25,10754,1,VeryGood,1954
380000,5,3,9914,2,Average,2004
297000,3,2.25,7562,2,Average,1994
730000,4,2.5,7331,2,Average,2004
450000,3,1.75,13500,1,Average,1940
275000,3,3,7750,1,Average,1997
595000,4,2,2849,2,Average,1960
435000,3,1.5,3348,1.5,Average,1904
270000,2,1.5,209959,1,Poor,1954
950000,3,3,14338,2,Average,1986
389000,4,2.25,5337,2,Average,2001
560000,4,2.25,7800,1,Average,1968
1.35E+06,5,3.5,14984,2,Average,1998
799000,4,2.25,11585,2,Good,1969
365500,3,2,9600,1,Good,1983
252350,3,2,7352,1,Average,1979
403950,4,2.5,13780,2,Average,1993
385000,4,1.5,10726,1,Average,1954
345000,4,1,7620,1.5,Average,1957
490000,3,2.75,3128,2,Good,1979
330000,3,2.5,26977,2,Average,2005
927000,4,2.75,12090,2,Average,1953
1.12E+06,4,2.5,16619,2,Good,1983
330000,2,1,10000,1,VeryGood,1950
530000,5,2.25,8800,1,Good,1958
365000,4,2,25600,1,Poor,1962
378750,3,2.5,3000,1.5,Average,1909
269900,4,1.75,8750,1.5,Good,1968
557000,3,3.5,2096,2,Average,2008
360000,4,1.75,16980,1,Good,1974
352000,2,1,5000,1,Good,1937
437000,3,2.5,22357,2,Average,1994
322500,4,2.5,6753,2,Average,1994
650000,3,3.25,2000,2,Average,2001
450000,3,2,1213,3,Average,2001
278500,3,2,5250,1,Average,1998
364950,4,2.5,6957,2,Average,1995
840000,4,3.5,40139,1,Good,1986
268000,3,2.5,8134,2,Average,1991
517534,2,1,143947,1,Average,2006
632925,3,2.5,32239,2,Good,1978
577500,3,2.5,7251,2,Average,1995
339000,4,1.5,7480,1.5,Average,1920
570000,3,1.75,37461,1,Good,1967
563500,4,1.75,174240,1,Average,1964
423000,4,2.25,9351,1,VeryGood,1962
355000,3,2.25,5028,2,Average,2012
1.55E+06,5,4.25,171626,2,Average,1999
482000,2,1,3960,1,Average,1941
625000,3,1.75,9135,1,VeryGood,1955
538000,3,2.5,11632,2,Average,1988
380000,3,2.5,10255,2,Good,1985
375000,2,1,5120,1,Average,1909
245000,3,2.5,8500,1,VeryGood,1996
310000,5,1.75,27260,1,Good,1947
1.30E+06,3,2,15021,1,Good,1976
397000,4,2,7680,1,Average,1971
365000,3,2.5,4052,2,Average,2005
328500,4,3,8250,2,Average,1990
988000,4,3,19700,2,Average,1987
1.00E+06,4,2.5,3277,1.5,VeryGood,1922
237000,3,2.5,2138,2,Average,2005
525000,4,2.5,5280,2,Average,2003
749000,4,2.5,9627,1,Average,1976
722500,5,2.5,11800,2,Average,1983
843000,3,2.5,8750,2,Average,1991
438000,2,2,1372,3,Average,2000
578000,3,1.75,10875,1,Average,1977
227950,3,1.5,8230,1,VeryGood,1954
196000,3,2.25,11576,2,Average,1974
641000,2,1,5332,1,Average,1953
350000,3,1.5,219978,1,Good,1980
205000,3,1,7980,1,Good,1960
400000,3,1.75,9102,1,Average,1968
1.03E+06,3,2.5,9816,1,Average,2005
505000,3,2,5460,1,Average,1972
475000,5,2.5,7200,1,Average,1975
520000,3,2.25,9263,1,VeryGood,1977
1.45E+06,3,4.5,24920,2,Average,1977
333500,3,1.75,9732,1,Average,1965
232000,3,1,10403,1,Good,1976
691100,3,2.75,16117,1,Good,1983
811000,3,1.75,9897,1,Good,1960
551000,3,2.5,5802,2,Average,2001
496500,3,2.5,3640,2,Average,1994
705000,3,3,20978,2,Good,1980
578000,4,2.5,9225,1,VeryGood,1966
255000,3,1.75,8659,1,VeryGood,1986
1.05E+06,4,3.5,7832,2,Average,2007
348000,3,2.25,8491,2,Good,1989
230000,3,2,3413,2,Average,1985
359500,4,2.25,11250,2,Average,1988
330000,3,1,7000,1,Average,1953
80000,1,0.75,5050,1,Fair,1912
465000,3,1.75,6360,1,Average,1954
325000,4,2.5,7324,2,Average,1997
340500,3,2,28025,1,Good,1947
342500,3,2.5,5192,2,Average,1993
290900,2,2,17600,2,Average,1930
868700,3,4.25,6161,2,Average,2000
1.20E+06,4,2.75,8400,2,Average,1928
1.15E+06,4,3.25,10259,2,Average,2000
859900,4,2.75,6298,2,Average,2011
520000,4,2.25,3006,2,Average,2003
460000,3,2.5,2527,2,Average,2005
438924,3,1.5,4590,1,Average,1949
315000,2,1,6550,1,Average,1918
590000,4,2.75,10650,1,Average,1975
378500,4,1.75,8640,1,Average,1955
328500,3,2.5,8130,2,Good,1990
849950,3,3,9773,2,Good,1973
525000,3,1.5,6000,1,Average,1950
1.39E+06,4,3.25,181319,2.5,Average,1993
295000,4,2.5,7725,1,Good,1978
1.07E+06,6,3.5,11793,2,Average,1998
207950,2,2,5000,1,Average,1917
699900,4,2.75,7302,2,Average,2002
1.28E+06,5,2.5,9500,2,Good,1977
452000,4,1.5,7350,1,Good,1963
370000,3,2,5036,1,Good,1987
232000,3,1.75,11230,1,VeryGood,1968
669950,5,2.5,14062,2,Good,1960
397500,3,2,6710,1,Average,1972
490000,2,2.5,1391,2,Average,2004
725000,4,2,4140,2,Average,1925
299000,3,2.75,19635,1,Good,1958
625000,2,1.5,5750,1.5,Good,1900
437500,3,2.5,4500,2,Average,2000
650000,4,2.5,5438,2,Average,2003
475000,2,1,3825,1,Average,1929
342000,3,2,11947,1,Good,1966
1.20E+06,4,2.5,7800,2,Average,1999
280000,3,1.5,11610,1,Good,1963
240000,2,1.75,7200,1,Average,1993
529000,3,1,3328,1.5,Good,1924
442000,3,1,5100,1,Good,1941
615000,2,1,6872,1,Good,1946
1.49E+06,4,3.75,10800,2,Average,2006
585000,4,1.75,7559,1,Good,1981
480000,4,2.5,7787,2,Average,2005
1.10E+06,5,3.5,57063,2,Good,1990
290000,4,1,8184,1.5,Average,1949
615000,3,1.75,5000,1,VeryGood,1951
300000,2,1,7680,1,Good,1950
308000,3,1,39150,1.5,Average,1932
750000,3,2.5,7745,2,Average,2001
2.25E+06,4,2.25,8036,2.5,VeryGood,1916
890000,4,3.25,194278,2,Average,2005
288000,3,1,7560,1,VeryGood,1958
190000,2,1,6000,1,Average,1943
515000,5,3,5105,1,Average,2005
235000,4,1.5,11054,1,Good,1930
275000,2,1,5000,1,Average,1951
727500,2,2,9119,1,Good,1952
650000,4,2.5,6587,2,Average,2003
1.60E+06,6,5,230652,2,Average,2001
365000,4,1,7085,1.5,Average,1944
662000,3,1.75,36947,1,Average,1984
270500,3,2.5,7848,1,Average,1978
200000,2,1.5,1898,2,Average,1978
970000,4,3.25,76230,2,Average,1987
160000,3,1.5,9600,1,Good,1962
204000,3,1,7405,1,Good,1971
358000,3,2.25,6655,2,Good,1985
452000,4,1.75,8268,1,Average,1979
595000,2,2,4000,1,Good,1900
249000,3,2,6082,1,Average,1994
346900,4,2.5,5106,2,Average,1999
2.13E+06,3,2.5,24069,2,Good,1976
280000,4,2.5,4350,2,Average,2003
318888,4,1.75,12000,1,Good,1973
530000,3,2.25,40518,1,Average,1967
375000,3,2.25,18500,2,Good,1983
910000,4,2.5,29242,2,Average,1988
782000,4,2.5,9614,2,Good,1991
259950,2,2,649,2,Average,2008
315000,4,2.75,18360,1,Good,1979
215000,2,1,8865,1,Good,1943
705000,3,1.75,10221,1,Good,1946
1.45E+06,3,3,6320,2,VeryGood,1952
451000,3,1.75,9813,2,Average,1949
261000,2,1,8125,1,Good,1943
396000,3,1.5,8280,1,VeryGood,1956
725000,4,2.5,29170,2,Average,1999
1.95E+06,7,3.5,15235,2,Average,1965
238000,4,1,7242,1.5,Average,1959
750000,6,1.75,9563,2,Good,1973
331500,4,2.5,10271,2,Average,1998
460000,4,3,108900,1,Average,1978
404950,4,2.25,217014,1,Good,1982
880000,3,2.5,5163,2,Average,2014
863000,4,2.5,22370,2,Average,1997
638700,3,1.75,9162,1,Average,1960
435000,3,2.5,5680,2,Average,2008
260000,3,1,5350,1.5,Good,1959
671500,5,2.75,4000,1.5,VeryGood,1927
610000,3,1,3400,1.5,Average,1907
405000,2,0.75,15029,1,Good,1937
338900,4,2.5,5612,2,Average,2003
720000,4,4,7708,2,Average,2004
442000,5,3,5445,1.5,Good,1927
650000,5,2.75,5040,1.5,VeryGood,1902
263500,3,1.75,9917,1,Average,1981
300000,2,1,75794,1,Good,1963
266000,3,2.5,3402,2,Average,2009
930000,4,4,84942,2.5,Average,2009
530000,4,2.5,5493,2,Average,2004
180000,3,1,8960,1,Good,1965
619000,3,2.5,6439,2,Average,2005
264000,3,1.5,10608,1,Good,1962
730000,2,2.25,4920,1.5,Good,1941
439000,4,2.25,10070,2,Average,1975
268500,4,1.75,7500,1,Good,1981
330000,3,1.75,15744,1,Average,1985
640000,3,2.5,4000,1.5,Average,1903
900000,3,2.5,12600,2,Good,1978
370000,3,2.25,13300,2,Good,1985
685000,3,2,2900,1.5,VeryGood,1931
505000,3,1.5,217800,1,Average,1981
265000,3,1.75,32666,1,Good,1966
290000,3,2.5,2937,2,Average,2006
296000,4,2.5,3600,2,Average,2006
360000,4,2.5,9611,2,Average,1996
240500,3,1.75,10584,1,Average,1997
372500,2,2.5,2958,2,Average,2007
595000,3,2.5,14402,2,Average,2004
515000,4,3,8249,2,Average,1997
1.22E+06,4,2.25,15367,2,Good,1962
507000,2,1.75,6460,1,Average,2004
399950,4,2,31465,1,Average,1984
185000,3,1.75,10816,2,Average,1994
460000,3,1.75,7070,1,Average,1980
435500,3,2.25,4789,2,Average,1985
469000,4,2.75,13938,1,VeryGood,1966
531000,2,3,1175,2,Average,2000
443500,2,1,6804,1,Average,1949
223000,3,2,6824,1,Average,1990
590000,4,3.5,15842,2,Average,1996
340000,2,2.5,1760,3,Average,1997
650000,3,2,3388,1,Good,1925
533600,3,2.5,5080,2,Good,1990
695000,3,2.75,4694,2,Average,2005
242000,3,1.75,7524,1.5,Good,1988
425000,3,2.25,8814,1,Average,1967
525000,3,2.25,9414,2,Average,1981
485000,3,2.5,5502,2,Average,1988
175000,3,1,9775,1,Average,1971
210000,3,2,7210,1,Average,1983
260000,3,2.5,7415,2,Average,1989
577000,3,2.5,5750,1,Average,1976
200000,3,1.5,10588,1,Good,1958
605000,2,1.75,5000,1,Good,1927
325000,3,1,6750,1,Good,1947
289500,3,1,6400,1,Good,1944
559950,3,2.5,1458,3,Average,2014
1.04E+06,3,1.75,9375,1,Good,1941
543500,3,2.25,2790,1,Average,1970
480000,4,2.25,34293,2,Good,1983
218000,3,1,9633,1,VeryGood,1982
565000,2,1.75,6000,1,Good,1914
426700,3,1.75,7700,1,VeryGood,1968
650000,3,2.5,11575,1,Average,1957
542000,2,1,3060,1,Average,1910
415000,3,1.75,8000,1,Average,1977
214000,3,1,8316,1,Good,1953
245000,3,1.5,8910,2,VeryGood,1949
314500,3,2,13303,1,Average,1993
1.12E+06,3,1.5,5750,2,VeryGood,1924
378000,2,2,3850,1,Average,1963
305000,4,2.5,9091,1,Average,1982
595000,5,2.75,6750,1,Good,1978
729500,3,2.5,1091,3,Average,2015
430000,3,2.5,6699,2,Average,2003
240000,3,1.75,6500,1,Average,1987
545000,3,1.75,6200,1.5,Average,1916
530000,3,1.75,2500,1,Average,1918
157000,1,1,26326,1,Average,1939
425000,4,1,7645,1.5,Average,1925
220000,3,1,6020,1,Average,1944
521000,4,1.75,36400,1,Good,1976
325000,3,1,6862,1,Average,1952
597500,3,2,5400,1.5,Good,1911
337000,3,2.5,3976,2,Average,1999
1.00E+06,3,2.5,10492,2,Average,1991
3.07E+06,3,2.5,55867,1,Good,1957
495000,3,1,6000,1,Average,1943
748000,4,3.5,3330,2,Average,2001
888000,3,1.5,8710,1,Good,1953
269900,3,1.75,22267,1,Average,1986
496500,4,2.5,14440,1,Average,1967
475000,3,2.5,5097,2,Average,1969
312000,3,1.5,1374,3,Average,2004
323000,3,1,12231,1,Average,1976
331000,3,1.75,9079,1,Average,1986
306000,3,1.5,1086,3,Average,2007
655000,4,2.5,4000,3,Average,2002
290000,3,1.5,15954,1,Good,1959
1.25E+06,4,3.25,5000,2,VeryGood,1965
460000,3,1.75,4708,1,Good,1949
435000,4,2.5,6380,1,Good,1940
664000,4,2.75,11880,1,VeryGood,1978
865000,4,1.75,4180,2,Good,1921
385000,3,1.75,18000,1,Average,1968
497000,3,2.25,9315,1,Average,1975
280000,2,1,3000,1,Good,1925
188000,2,1.5,17487,1,Average,1924
478500,3,1,4755,1,Average,1969
1.15E+06,4,3.5,18361,2,Average,2001
222000,3,2,7187,1,Good,1981
799000,4,3,209523,2,Average,1984
609900,4,2.5,7399,2,Average,2006
413000,4,3.5,5809,2,Good,1995
400000,4,1,4875,1.5,Average,1930
802541,5,2.75,6768,2,Average,2014
320000,3,2.5,7757,2,Average,1990
507000,4,2.5,7649,2,Average,2006
387500,3,1,8329,1,Average,1946
396000,3,1,12616,1,Average,1967
373000,3,1.75,11788,1,Average,1958
1.48E+06,5,2.5,19252,2,VeryGood,1965
