Ac_No,Age,Years of Experience,Number of Vehicles,Gender,Married,Losses in Thousands
101453,57,38,1,F,Married,596.5321778
196143,51,31,1,M,Married,514.6965606
146751,19,0,1,F,Married,540.6418989
122609,64,45,1,F,Married,35.48597259
128464,62,42,1,F,Single,92.7900941
133656,22,5,1,M,Single,655.1327292
107370,46,27,1,M,Single,771.279313
169611,56,36,1,M,Single,555.0751738
164381,19,2,1,M,Married,289.320228
101325,25,8,1,F,Married,319.7637959
187545,61,42,1,F,Single,380.0193648
140733,35,17,1,M,Single,402.9137936
163180,64,46,1,M,Single,217.1632874
165026,41,22,1,F,Single,275.294995
103182,66,46,1,M,Single,796.0709274
106285,62,43,1,M,Single,56.27149032
109813,46,28,1,F,Single,713.2035955
100018,29,10,1,M,Married,140.7946555
135733,65,44,1,M,Single,290.7360244
129730,60,39,1,M,Married,203.0429805
103606,41,22,1,M,Married,516.9890908
128663,46,26,1,F,Married,202.4587138
126842,41,24,1,F,Single,428.4593856
159663,24,6,1,F,Single,516.0790928
121046,62,42,1,F,Married,256.9014828
127128,36,15,1,F,Married,376.2971849
159668,24,6,1,M,Single,1070.204776
160863,49,28,1,M,Married,370.6966267
180191,20,3,1,F,Single,266.0967514
152361,52,31,1,F,Married,311.9191271
140469,21,4,1,F,Single,429.8619791
108018,58,39,1,M,Single,818.0944497
112856,36,17,1,F,Married,320.2940291
115581,18,0,1,F,Married,183.2307779
156261,21,3,1,F,Single,564.7148465
110157,60,43,1,F,Married,110.3300495
150327,63,44,1,F,Single,465.658248
177062,64,45,1,M,Single,172.5265908
179628,22,5,1,M,Married,360.8051782
154549,22,3,1,F,Married,837.3677817
174309,26,5,1,F,Married,128.8692649
165949,19,0,1,F,Single,484.6961144
143867,28,9,1,M,Married,487.8515553
115293,24,5,1,M,Married,989.6964115
124781,60,39,1,F,Single,165.9840948
151108,20,2,1,F,Married,166.5373225
134055,43,25,1,M,Married,692.538638
158875,23,4,1,M,Married,512.8447128
199635,48,27,1,M,Married,628.6211982
172931,40,23,1,M,Single,437.5853059
110664,64,44,1,M,Single,244.1284514
123896,23,6,1,M,Married,479.0179823
198927,38,21,1,M,Married,321.0614316
193212,19,0,1,M,Married,328.3589705
110085,62,42,1,M,Married,387.2442899
169347,23,4,1,M,Married,235.0776441
167213,34,13,1,F,Married,395.6067606
189632,64,47,1,M,Single,65.68992357
167717,63,42,1,M,Single,296.012821
160508,28,11,1,F,Married,159.3673423
125668,16,0,1,M,Married,476.5346165
166836,29,11,1,F,Single,509.0594248
154044,17,0,1,F,Married,351.8847284
183078,55,34,1,F,Married,522.9070466
193267,52,31,1,M,Married,314.1997614
112976,30,9,1,M,Single,200.7912195
114690,16,0,1,F,Married,303.4043979
117370,23,5,1,F,Single,787.7636887
135686,70,49,1,F,Married,99.83090559
173662,18,0,1,F,Married,250.2204478
174141,27,7,1,F,Married,488.6956097
117625,47,28,1,M,Married,561.796776
150029,18,1,1,F,Single,415.4689569
149512,19,2,1,F,Single,777.5951773
181260,27,8,1,F,Single,355.8158451
198494,47,28,1,M,Married,356.572264
161421,70,52,1,F,Single,327.935663
178940,53,33,1,F,Married,300.7818655
127336,21,2,1,M,Married,770.4316087
121232,43,23,1,M,Married,689.2935821
178596,65,44,1,F,Married,151.2848344
101155,30,13,1,F,Single,696.0295489
168264,48,30,1,M,Married,237.0227564
180115,16,0,1,F,Married,310.3054332
158172,63,46,1,M,Single,411.4934109
135272,40,22,1,F,Single,629.444886
160525,46,27,1,M,Married,393.3264183
100210,56,35,1,F,Married,571.9363703
111093,19,2,1,F,Married,282.4138477
136861,33,12,1,M,Single,454.822674
199343,57,38,1,F,Single,478.456794
128605,56,36,1,M,Single,193.0311549
164611,25,8,1,M,Married,409.9010323
192220,55,34,1,M,Single,509.1345942
191061,40,20,1,M,Single,423.7222281
151362,46,28,1,F,Single,344.2283454
187738,42,21,1,M,Married,182.4160381
176775,27,8,1,F,Married,161.1440266
159600,46,27,1,M,Married,355.735993
141403,25,8,1,F,Married,328.8843527
171452,42,24,1,M,Married,324.5803862
116796,64,46,1,F,Single,454.9945793
118790,34,14,1,M,Single,762.0191521
159938,64,44,1,F,Single,289.5307529
147703,34,16,1,F,Single,458.5579608
181163,37,20,1,F,Married,258.8203437
168461,21,3,1,M,Single,586.595506
171559,68,50,1,M,Married,159.269216
168785,26,9,1,F,Single,147.7489935
175417,51,34,1,F,Married,308.8097112
140551,69,51,1,F,Single,254.7680456
143561,38,20,1,M,Single,517.2833796
161679,64,45,1,M,Single,105.4432074
187609,62,44,1,F,Married,39.95489011
164350,70,50,1,M,Married,302.4864881
147658,27,9,1,F,Married,311.3847328
196071,24,5,1,M,Married,335.7048594
173780,24,6,1,F,Married,197.9280454
120744,70,50,1,F,Married,81.55524621
152233,46,28,1,F,Single,408.0924936
101429,61,41,1,M,Single,35.74744486
100994,70,53,1,M,Single,319.9288788
133327,51,32,1,F,Single,590.2667386
196564,49,31,1,F,Single,525.5303261
171515,34,13,1,M,Single,939.0853092
115864,25,7,1,M,Married,554.2015344
162203,24,5,1,M,Single,310.8532989
172979,36,15,1,F,Single,877.9333318
142500,20,3,1,F,Single,156.6693023
159595,20,1,1,F,Single,519.6358893
154012,70,53,1,F,Single,103.2503942
133980,22,4,1,M,Married,546.9662639
130073,61,44,1,M,Single,330.1496076
122265,20,2,1,M,Married,655.2242872
141110,21,4,1,M,Married,479.7951029
117962,19,0,1,F,Married,517.2311218
120429,66,49,1,F,Single,71.76435204
138510,63,44,1,M,Single,131.0544977
102952,51,30,1,F,Single,648.3377527
116550,37,17,1,M,Married,341.0717472
189773,16,0,1,M,Married,511.7329733
153902,21,4,1,M,Married,252.3853189
129663,23,6,1,F,Married,187.9585249
198193,63,44,1,F,Single,153.8388035
169076,63,42,1,M,Married,94.0483353
169427,52,32,1,M,Married,208.3574065
166756,30,10,1,M,Married,396.8456932
105539,21,4,1,F,Married,296.0244249
169496,63,46,1,M,Married,75.81174432
200391,45,27,1,F,Married,448.5662485
117445,61,41,1,F,Married,130.9914388
128507,34,16,1,M,Married,147.2741212
190032,16,0,1,F,Single,640.2131123
112590,23,5,1,M,Married,420.4922713
137410,25,7,1,F,Married,396.1408555
186036,16,0,1,M,Married,478.3520156
105765,30,9,1,F,Married,292.5163921
182237,48,29,1,F,Married,527.9214511
110357,17,0,1,F,Married,246.7103971
196401,69,49,1,M,Married,169.4418198
119519,28,9,1,M,Single,440.4587335
196503,29,9,1,F,Married,289.6606846
192607,24,7,1,M,Single,681.6009788
124865,67,48,1,F,Married,162.021823
194944,45,28,1,F,Single,237.9548251
187015,38,19,1,M,Single,726.0985559
165695,50,31,1,M,Single,728.5124594
153893,51,32,1,M,Single,445.3525652
167349,44,23,1,F,Single,427.1032675
140976,52,33,1,M,Married,264.9045348
185143,21,2,1,M,Married,317.4901628
136163,20,1,1,F,Married,356.4554345
125842,70,49,1,M,Single,639.261733
159297,60,40,1,M,Married,152.0660029
100408,33,15,1,M,Married,598.6892757
188214,16,0,1,F,Married,382.4581608
101548,19,2,1,M,Married,339.775025
107666,62,45,1,F,Married,97.0052298
192742,35,17,1,M,Married,167.8386883
127036,16,0,1,F,Single,622.0789033
178574,34,14,1,F,Married,196.5073839
148317,26,8,1,M,Single,489.774795
169827,23,4,1,M,Married,307.9160669
158864,48,31,1,F,Single,581.3363152
149804,33,14,1,F,Married,324.7471949
178723,33,15,1,M,Married,546.5349024
158387,57,40,1,F,Single,379.2612055
197918,61,41,1,F,Married,122.8351382
129981,70,49,1,M,Married,401.9377187
194863,61,40,1,M,Married,39.06923279
182161,24,5,1,M,Married,604.5968924
180475,39,21,1,M,Single,352.1776675
140740,52,32,1,F,Single,323.3784995
169171,25,7,1,M,Married,180.2839243
115611,67,46,1,F,Married,299.7655866
152972,25,6,1,M,Married,583.9925703
152327,56,38,1,F,Single,484.2868664
107571,26,8,1,M,Married,425.3481104
172758,63,43,1,F,Married,40.93404521
126567,62,42,1,F,Single,127.4005318
191861,52,31,1,M,Married,332.1391406
126307,53,35,1,M,Married,382.1779015
101826,34,15,1,M,Married,201.8179313
151310,17,0,1,M,Married,449.274253
196931,17,0,1,F,Married,479.4391977
128634,64,46,1,M,Married,206.7379713
161597,68,51,1,M,Single,48.10845199
109884,18,0,1,M,Married,333.2548377
169116,31,12,1,M,Single,800.6210897
190939,18,1,1,F,Married,181.7398301
185233,67,46,1,F,Married,207.5631629
118109,69,49,1,F,Married,44.85076261
160237,49,30,1,F,Single,389.6227552
177000,22,4,1,M,Married,456.2160705
189028,59,40,1,M,Single,780.2021419
161478,17,0,1,M,Single,852.9917769
188298,62,43,1,M,Married,298.1251488
171213,44,23,1,F,Single,517.2484855
101617,25,6,1,F,Single,227.3336458
125820,54,34,1,M,Married,395.9018181
150893,22,3,1,F,Single,238.1623425
171784,23,5,1,M,Married,623.8842385
157566,60,39,1,F,Single,188.1206318
184178,21,2,1,M,Married,544.2032325
117590,19,0,1,M,Single,325.562891
103030,24,6,1,F,Married,182.8039805
137592,66,47,1,F,Single,155.5223241
175249,31,13,1,F,Single,502.7124322
146920,42,25,1,M,Single,262.9411765
199913,37,19,1,M,Married,324.1466938
177817,32,12,1,F,Married,312.2857892
176406,56,38,1,F,Single,205.9058749
118396,57,39,1,F,Single,367.8672027
179121,67,48,1,F,Married,165.6764223
172178,24,5,1,M,Married,451.8458055
127158,55,38,1,M,Married,354.9675474
150804,36,17,1,M,Married,375.07503
196933,17,0,1,M,Single,841.6097425
156935,23,4,1,M,Single,565.75928
187466,61,42,1,M,Married,341.8587982
145693,48,29,1,F,Single,407.1739205
161277,25,6,1,F,Single,559.1451267
117086,16,0,1,M,Married,547.4455297
103922,41,21,1,M,Single,169.8042272
195112,21,4,1,M,Married,1066.302464
192661,25,8,1,F,Married,250.8077066
159443,55,36,1,F,Married,188.8132454
178402,22,3,1,F,Single,567.0537545
157188,19,0,1,F,Married,345.0465518
120132,28,11,1,M,Married,315.3474326
106186,21,2,1,F,Single,656.1548087
196429,43,22,1,F,Married,461.9718465
143546,45,26,1,F,Single,377.9836825
190872,18,0,1,M,Single,684.6526982
112220,19,2,1,F,Married,144.4525566
119068,35,16,1,F,Single,401.6252338
173295,63,46,1,F,Single,253.4663373
173811,39,20,1,M,Married,144.4791732
158441,16,0,1,F,Single,227.3926774
139945,23,4,1,M,Married,643.5273912
126513,17,0,1,M,Married,324.5930853
157712,17,0,1,M,Married,167.9065824
123461,20,2,1,F,Married,164.3226813
109839,56,35,1,F,Single,286.5238132
168710,26,5,1,F,Married,278.9689585
180764,17,0,1,M,Married,545.648712
193331,53,34,1,M,Single,257.7397425
187957,31,10,1,M,Married,268.77102
101592,19,1,1,F,Married,387.2362217
122418,26,8,1,F,Single,666.6766088
159787,29,12,1,F,Single,363.980308
171517,47,28,1,M,Married,124.3721637
134430,24,5,1,M,Single,727.2299234
173346,18,1,1,F,Married,256.8966878
103987,68,50,1,M,Married,96.75876211
124801,18,0,1,F,Married,228.6247326
122734,67,49,1,F,Married,117.5752762
132167,70,53,1,M,Single,264.2712706
127432,28,11,1,M,Single,836.2796454
104075,69,51,1,M,Single,308.9019548
172126,28,9,1,M,Married,183.7265292
179575,63,45,1,M,Married,138.3989724
153354,25,8,1,F,Single,671.5230097
191744,55,38,1,F,Single,191.0414252
149303,25,6,1,F,Married,445.6656637
186838,57,38,1,F,Married,587.121065
128867,16,0,1,M,Married,201.2702657
186334,22,4,1,F,Single,484.2131818
137799,50,31,1,M,Married,360.8718623
138395,24,5,1,M,Married,268.9314723
176582,45,26,1,F,Single,383.44538
171589,49,29,1,F,Single,418.456828
155642,62,45,1,M,Married,124.498519
165502,16,0,1,M,Single,673.1939661
145115,50,33,1,F,Married,292.8056952
190056,43,23,1,M,Married,363.9739969
124975,17,0,1,M,Single,703.1834416
122527,19,1,1,M,Married,510.3590398
118246,65,47,1,F,Single,41.57656736
172805,17,0,1,M,Married,260.2345014
136848,38,21,1,F,Single,385.7485614
127328,48,28,1,F,Married,334.7612678
175335,46,25,1,M,Single,274.8857402
191160,25,8,1,F,Married,216.4240688
192099,31,14,1,M,Single,405.4731829
113488,44,27,1,M,Single,684.9800141
173817,41,20,1,F,Single,150.5320913
132277,17,0,1,F,Single,673.3517116
111157,29,9,1,F,Married,218.9770126
171107,32,14,1,F,Single,281.440499
123153,61,40,1,F,Married,146.0636593
159367,28,8,1,F,Single,809.1460715
154713,17,0,1,M,Single,1023.788951
110871,55,34,1,F,Single,475.6477521
183774,20,3,1,M,Married,412.3728753
165214,70,53,1,M,Married,156.7486616
166545,46,27,1,F,Married,283.6638328
122212,37,19,1,F,Married,360.7519195
163233,65,48,1,M,Married,239.2136809
113034,17,0,1,F,Single,234.8382168
148057,35,16,1,M,Single,522.5136507
159268,42,23,1,F,Married,291.6776414
188144,25,6,1,F,Married,224.8163937
161064,32,12,1,F,Married,419.5637371
120281,26,5,1,F,Single,395.6273655
185498,24,7,1,M,Single,648.4970615
187994,18,0,1,M,Single,389.7294061
124482,51,32,1,M,Single,235.7394144
112786,47,30,1,M,Single,155.9301797
136578,21,4,1,F,Single,772.0719204
104486,20,3,1,M,Single,738.7166747
144713,66,48,1,F,Single,476.4294007
189009,65,47,1,F,Single,47.27603743
185162,30,12,1,F,Married,308.5713815
174649,24,7,1,F,Single,614.8820182
169584,35,18,1,M,Married,280.7923877
110968,17,0,1,F,Single,659.2477512
121408,41,22,1,F,Married,312.7213527
124458,41,24,1,F,Married,337.6700037
160770,39,22,1,F,Single,272.2594633
110330,16,0,1,M,Married,443.3265557
100128,41,20,1,F,Married,136.4526367
139445,28,9,1,M,Married,668.780303
157704,66,45,1,M,Married,36.63901131
177554,23,4,1,M,Married,694.5794472
127371,64,45,1,F,Married,318.332047
196535,66,47,1,M,Single,229.6906948
127572,25,7,1,M,Single,983.6492536
136937,29,11,1,M,Single,675.7091855
139753,64,47,1,F,Single,110.6599318
108007,22,5,1,F,Single,447.3969202
156815,69,51,1,M,Single,228.5962068
165686,24,5,1,F,Married,441.8763829
108319,18,1,1,F,Single,698.2797078
139548,69,48,1,M,Single,235.8586141
163531,19,2,1,F,Married,294.094824
175274,70,51,1,M,Married,345.2723201
106139,38,21,1,F,Single,837.4720719
102284,44,25,1,F,Single,340.3533667
139062,64,44,1,F,Single,292.0086982
138558,43,25,1,M,Married,398.6963317
113232,18,0,1,M,Single,810.3321729
138682,55,38,1,M,Married,356.072465
108361,35,17,1,F,Single,376.4717043
175469,70,52,1,M,Married,162.5111147
113056,22,5,1,F,Married,391.2488532
120187,26,7,1,F,Married,283.7506272
160257,27,7,1,M,Married,346.3474987
114349,32,15,1,F,Single,402.3212675
106020,25,7,1,M,Married,776.9765728
132596,55,35,1,M,Married,644.72313
181345,23,6,1,F,Single,385.8799478
189925,52,33,1,M,Married,321.4892996
179055,53,35,1,M,Single,435.959851
166104,32,11,1,F,Married,303.1333791
108638,53,32,1,F,Married,556.9123571
167470,17,0,1,F,Single,1037.373455
120968,20,1,1,F,Single,302.3470413
111755,69,52,1,M,Single,117.101737
140290,17,0,1,M,Single,963.5760233
161043,63,42,1,M,Single,95.64112278
167862,29,11,1,F,Married,418.6738227
140188,62,43,1,F,Single,342.2447597
130384,61,42,1,F,Married,102.3352065
151474,66,46,1,F,Single,41.48382202
124623,54,35,1,F,Married,307.3220363
141182,48,27,1,F,Single,686.6217767
105601,67,50,1,M,Single,167.0764612
157387,66,47,1,M,Married,550.5213257
179271,23,5,1,M,Single,586.5806227
112660,26,6,1,F,Married,338.521163
184700,38,20,1,M,Married,648.4727226
124754,69,50,1,M,Married,95.24364537
170986,20,2,1,M,Single,493.8180385
157919,21,2,1,M,Single,1020.797227
127745,18,1,1,M,Married,470.7737738
126976,34,15,1,F,Single,402.5129906
100647,51,33,1,M,Single,422.0508228
155724,23,6,1,F,Married,126.7299892
177507,18,0,1,M,Married,1204.444856
111633,60,39,1,M,Married,275.6651835
118001,46,26,1,F,Married,517.6533908
195879,64,47,1,F,Single,42.93175722
145321,21,2,1,M,Single,930.9972091
104756,22,3,1,M,Single,946.1029263
164893,44,25,1,F,Single,363.644134
159299,36,15,1,F,Single,420.0788009
199665,66,49,1,F,Single,78.76982783
126149,21,4,1,F,Single,420.898228
183797,64,46,1,M,Married,390.4062578
176667,44,26,1,M,Single,462.2550909
182567,47,30,1,M,Married,146.8817882
117930,18,0,1,M,Single,1032.461873
104251,40,22,1,F,Married,373.2009063
109501,22,4,1,M,Single,874.4650234
109203,24,7,1,M,Single,1491.634513
183180,70,52,1,F,Single,140.2225367
107023,61,41,1,M,Married,159.4451332
109970,20,3,1,M,Single,730.6043258
189461,22,4,1,F,Single,470.262049
137839,65,48,1,M,Single,234.2227558
114693,38,17,1,F,Single,544.5163493
185003,60,41,1,F,Married,285.7046838
154333,31,10,1,F,Married,268.5320136
102206,47,28,1,M,Married,359.3406363
185807,62,44,1,M,Married,31.83119043
105960,38,17,1,F,Single,425.1927224
111655,23,4,1,F,Single,221.8433043
175701,34,16,1,F,Single,229.5774269
119447,65,44,1,M,Single,183.8554703
122194,61,42,1,M,Single,495.8440724
182956,62,43,1,F,Married,58.49819066
192958,51,30,1,F,Single,421.1261475
153518,34,15,1,F,Married,367.9259859
113255,41,23,1,M,Married,404.4662799
177434,63,45,1,M,Married,101.5269237
154086,70,52,1,F,Single,320.8710566
144431,53,33,1,M,Married,203.9808667
152351,25,6,1,F,Married,481.9361346
191927,16,0,1,M,Married,333.0519897
102450,21,2,1,F,Single,293.2690619
112495,68,50,1,M,Single,218.6882265
139939,27,9,1,F,Single,430.2106048
174931,19,0,1,M,Single,959.6700925
134971,57,36,1,F,Single,861.7717368
124922,23,5,1,F,Single,523.3410437
200235,50,32,1,F,Married,302.1415562
172030,60,42,1,F,Single,240.6219433
115139,69,52,1,M,Single,152.3553777
178501,26,8,1,M,Single,436.3278273
144911,41,22,1,F,Married,381.0411775
151406,66,47,1,M,Single,73.7182254
170150,53,33,1,M,Married,159.1531007
159319,29,8,1,F,Single,603.1089156
172679,25,6,1,F,Married,496.9800239
126506,58,41,1,F,Single,392.0911466
138394,20,2,1,F,Single,243.9793541
143776,18,0,1,F,Married,273.2499754
136845,61,44,1,M,Single,316.5254941
170646,41,21,1,F,Married,185.6857913
109520,68,48,1,F,Single,105.8026452
147625,68,47,1,M,Single,237.0065584
110207,63,42,1,F,Single,34.08131785
122307,56,37,1,M,Married,346.4563025
139500,22,3,1,M,Single,1359.573132
165410,65,48,1,F,Married,147.7444072
184068,53,34,1,F,Married,477.1837723
151503,32,13,1,M,Married,307.2191317
150868,25,8,1,F,Single,602.1457063
130522,62,41,1,F,Single,463.944586
118753,58,41,1,F,Married,117.5921567
122762,62,45,1,F,Married,27.13439185
125364,20,1,1,M,Married,512.1821988
136921,70,52,1,F,Married,109.4343565
122543,20,3,1,M,Single,651.4197408
126224,58,39,1,M,Single,531.4576965
190604,68,48,1,F,Married,188.8429635
148198,23,6,1,M,Single,557.6682868
134164,22,4,1,M,Single,334.8882663
141639,66,45,1,F,Single,37.17363736
118470,27,10,1,F,Single,362.9964994
123081,49,30,1,F,Married,539.8117592
158991,16,0,1,M,Married,357.890352
129139,46,25,1,M,Single,331.0279696
133084,26,7,1,M,Married,335.2827816
192012,63,44,1,M,Single,262.1983443
190989,34,15,1,M,Single,735.1929055
153916,66,46,1,M,Married,405.6157569
118161,62,44,1,M,Single,351.5052862
121161,70,50,1,M,Single,296.9626966
179660,61,43,1,F,Single,125.3379165
134674,28,11,1,F,Married,374.7148925
136257,22,5,1,F,Single,534.4777431
149446,50,29,1,F,Single,357.7424259
191625,20,1,1,F,Single,235.5727989
122207,26,8,1,M,Single,481.3734693
176085,18,1,1,M,Single,1570.197729
177928,70,52,1,M,Married,190.0997216
165231,23,6,1,M,Single,801.8957989
158351,43,24,1,M,Single,475.7226569
166862,25,7,1,F,Single,865.1700498
185682,68,49,1,F,Married,33.34637246
161523,18,0,1,F,Married,258.6207438
188537,20,2,1,F,Single,475.6435642
189721,53,34,1,F,Married,289.3514634
154254,48,29,1,F,Married,342.4184844
176180,43,25,1,F,Married,439.646889
147951,67,48,1,M,Single,329.7247293
179759,19,0,1,M,Single,844.9966518
185134,59,42,1,F,Single,474.1468687
182616,49,32,1,M,Single,397.0559669
157449,23,4,1,M,Married,771.4163793
177835,55,35,1,M,Married,346.214594
161573,68,47,1,M,Single,44.93262419
171124,49,30,1,M,Married,307.6032853
125647,63,43,1,M,Married,118.1535711
180220,51,34,1,M,Married,417.171405
122017,62,43,1,F,Single,25.39965998
173823,20,3,1,F,Single,715.9079639
106553,54,35,1,M,Single,679.0530079
125222,65,46,1,F,Single,232.7596434
187245,30,11,1,M,Single,482.5174629
177032,56,36,1,M,Married,192.6799087
170878,20,1,1,F,Married,179.1249378
129163,67,50,1,F,Married,406.5367908
107555,20,1,1,M,Married,395.1330661
152324,68,50,1,M,Single,398.8494738
111541,21,3,1,M,Married,170.8080013
168352,25,7,1,M,Single,1265.254483
134503,19,1,1,F,Single,553.7473001
123127,62,43,1,F,Married,87.76790241
181186,17,0,1,F,Married,299.9273424
144808,54,37,1,M,Single,401.34274
136504,60,39,1,M,Married,65.4394601
195434,67,48,1,F,Single,16.53853704
131041,33,15,1,M,Single,707.7098739
184282,67,46,1,F,Single,340.8910535
189508,68,48,1,M,Married,276.9982494
